Time_ms;Victim_TEC;Attacker_TEC;Victim_State;Action;Bus_Status
0;0;0;ERROR_ACTIVE;IDLE;IDLE
1;0;0;ERROR_ACTIVE;IDLE;IDLE
2;0;0;ERROR_ACTIVE;IDLE;IDLE
3;0;0;ERROR_ACTIVE;IDLE;IDLE
4;0;0;ERROR_ACTIVE;IDLE;IDLE
5;0;0;ERROR_ACTIVE;IDLE;IDLE
6;0;0;ERROR_ACTIVE;IDLE;IDLE
7;0;0;ERROR_ACTIVE;IDLE;IDLE
8;0;0;ERROR_ACTIVE;IDLE;IDLE
9;0;0;ERROR_ACTIVE;IDLE;IDLE
10;0;0;ERROR_ACTIVE;VICTIM_PERIODIC_SUCCESS;VICTIM_TX
11;0;0;ERROR_ACTIVE;IDLE;IDLE
12;0;0;ERROR_ACTIVE;IDLE;IDLE
13;0;0;ERROR_ACTIVE;IDLE;IDLE
14;0;0;ERROR_ACTIVE;IDLE;IDLE
15;0;0;ERROR_ACTIVE;IDLE;IDLE
16;0;0;ERROR_ACTIVE;IDLE;IDLE
17;0;0;ERROR_ACTIVE;IDLE;IDLE
18;0;0;ERROR_ACTIVE;IDLE;IDLE
19;0;0;ERROR_ACTIVE;IDLE;IDLE
20;0;0;ERROR_ACTIVE;VICTIM_PERIODIC_SUCCESS;VICTIM_TX
21;0;0;ERROR_ACTIVE;IDLE;IDLE
22;0;0;ERROR_ACTIVE;IDLE;IDLE
23;0;0;ERROR_ACTIVE;IDLE;IDLE
24;0;0;ERROR_ACTIVE;IDLE;IDLE
25;0;0;ERROR_ACTIVE;IDLE;IDLE
26;0;0;ERROR_ACTIVE;IDLE;IDLE
27;0;0;ERROR_ACTIVE;IDLE;IDLE
28;0;0;ERROR_ACTIVE;IDLE;IDLE
29;0;0;ERROR_ACTIVE;IDLE;IDLE
30;0;0;ERROR_ACTIVE;SKIPPING_TX;VICTIM_TX
31;0;0;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
32;0;0;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
33;0;0;ERROR_ACTIVE;IDLE;IDLE
34;0;0;ERROR_ACTIVE;IDLE;IDLE
35;0;0;ERROR_ACTIVE;IDLE;IDLE
36;0;0;ERROR_ACTIVE;IDLE;IDLE
37;0;0;ERROR_ACTIVE;IDLE;IDLE
38;0;0;ERROR_ACTIVE;IDLE;IDLE
39;0;0;ERROR_ACTIVE;IDLE;IDLE
40;0;0;ERROR_ACTIVE;SKIPPING_TX;VICTIM_TX
41;0;0;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
42;0;0;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
43;0;0;ERROR_ACTIVE;IDLE;IDLE
44;0;0;ERROR_ACTIVE;IDLE;IDLE
45;0;0;ERROR_ACTIVE;IDLE;IDLE
46;0;0;ERROR_ACTIVE;IDLE;IDLE
47;0;0;ERROR_ACTIVE;IDLE;IDLE
48;0;0;ERROR_ACTIVE;IDLE;IDLE
49;0;0;ERROR_ACTIVE;IDLE;IDLE
50;8;8;ERROR_ACTIVE;ATTACK_COLLISION;VICTIM_TX
51;7;8;ERROR_ACTIVE;VICTIM_RETRANSMIT_SUCCESS;VICTIM_TX
52;7;7;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
53;7;6;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
54;7;6;ERROR_ACTIVE;IDLE;IDLE
55;7;6;ERROR_ACTIVE;IDLE;IDLE
56;7;6;ERROR_ACTIVE;IDLE;IDLE
57;7;6;ERROR_ACTIVE;IDLE;IDLE
58;7;6;ERROR_ACTIVE;IDLE;IDLE
59;7;6;ERROR_ACTIVE;IDLE;IDLE
60;6;6;ERROR_ACTIVE;SKIPPING_TX;VICTIM_TX
61;6;5;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
62;6;4;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
63;6;4;ERROR_ACTIVE;IDLE;IDLE
64;6;4;ERROR_ACTIVE;IDLE;IDLE
65;6;4;ERROR_ACTIVE;IDLE;IDLE
66;6;4;ERROR_ACTIVE;IDLE;IDLE
67;6;4;ERROR_ACTIVE;IDLE;IDLE
68;6;4;ERROR_ACTIVE;IDLE;IDLE
69;6;4;ERROR_ACTIVE;IDLE;IDLE
70;5;4;ERROR_ACTIVE;SKIPPING_TX;VICTIM_TX
71;5;3;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
72;5;2;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
73;5;2;ERROR_ACTIVE;IDLE;IDLE
74;5;2;ERROR_ACTIVE;IDLE;IDLE
75;5;2;ERROR_ACTIVE;IDLE;IDLE
76;5;2;ERROR_ACTIVE;IDLE;IDLE
77;5;2;ERROR_ACTIVE;IDLE;IDLE
78;5;2;ERROR_ACTIVE;IDLE;IDLE
79;5;2;ERROR_ACTIVE;IDLE;IDLE
80;13;10;ERROR_ACTIVE;ATTACK_COLLISION;VICTIM_TX
81;12;10;ERROR_ACTIVE;VICTIM_RETRANSMIT_SUCCESS;VICTIM_TX
82;12;9;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
83;12;8;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
84;12;8;ERROR_ACTIVE;IDLE;IDLE
85;12;8;ERROR_ACTIVE;IDLE;IDLE
86;12;8;ERROR_ACTIVE;IDLE;IDLE
87;12;8;ERROR_ACTIVE;IDLE;IDLE
88;12;8;ERROR_ACTIVE;IDLE;IDLE
89;12;8;ERROR_ACTIVE;IDLE;IDLE
90;11;8;ERROR_ACTIVE;SKIPPING_TX;VICTIM_TX
91;11;7;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
92;11;6;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
93;11;6;ERROR_ACTIVE;IDLE;IDLE
94;11;6;ERROR_ACTIVE;IDLE;IDLE
95;11;6;ERROR_ACTIVE;IDLE;IDLE
96;11;6;ERROR_ACTIVE;IDLE;IDLE
97;11;6;ERROR_ACTIVE;IDLE;IDLE
98;11;6;ERROR_ACTIVE;IDLE;IDLE
99;11;6;ERROR_ACTIVE;IDLE;IDLE
100;10;6;ERROR_ACTIVE;SKIPPING_TX;VICTIM_TX
101;10;5;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
102;10;4;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
103;10;4;ERROR_ACTIVE;IDLE;IDLE
104;10;4;ERROR_ACTIVE;IDLE;IDLE
105;10;4;ERROR_ACTIVE;IDLE;IDLE
106;10;4;ERROR_ACTIVE;IDLE;IDLE
107;10;4;ERROR_ACTIVE;IDLE;IDLE
108;10;4;ERROR_ACTIVE;IDLE;IDLE
109;10;4;ERROR_ACTIVE;IDLE;IDLE
110;18;12;ERROR_ACTIVE;ATTACK_COLLISION;VICTIM_TX
111;17;12;ERROR_ACTIVE;VICTIM_RETRANSMIT_SUCCESS;VICTIM_TX
112;17;11;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
113;17;10;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
