Time_ms;Victim_TEC;Attacker_TEC;Victim_State;Action;Bus_Status
0;0;0;ERROR_ACTIVE;IDLE;IDLE
1;0;0;ERROR_ACTIVE;IDLE;IDLE
2;0;0;ERROR_ACTIVE;IDLE;IDLE
3;0;0;ERROR_ACTIVE;IDLE;IDLE
4;0;0;ERROR_ACTIVE;IDLE;IDLE
5;0;0;ERROR_ACTIVE;IDLE;IDLE
6;0;0;ERROR_ACTIVE;IDLE;IDLE
7;0;0;ERROR_ACTIVE;IDLE;IDLE
8;0;0;ERROR_ACTIVE;IDLE;IDLE
9;0;0;ERROR_ACTIVE;IDLE;IDLE
10;0;0;ERROR_ACTIVE;VICTIM_PERIODIC_SUCCESS;VICTIM_TX
11;0;0;ERROR_ACTIVE;IDLE;IDLE
12;0;0;ERROR_ACTIVE;IDLE;IDLE
13;0;0;ERROR_ACTIVE;IDLE;IDLE
14;0;0;ERROR_ACTIVE;IDLE;IDLE
15;0;0;ERROR_ACTIVE;IDLE;IDLE
16;0;0;ERROR_ACTIVE;IDLE;IDLE
17;0;0;ERROR_ACTIVE;IDLE;IDLE
18;0;0;ERROR_ACTIVE;IDLE;IDLE
19;0;0;ERROR_ACTIVE;IDLE;IDLE
20;0;0;ERROR_ACTIVE;VICTIM_PERIODIC_SUCCESS;VICTIM_TX
21;0;0;ERROR_ACTIVE;IDLE;IDLE
22;0;0;ERROR_ACTIVE;IDLE;IDLE
23;0;0;ERROR_ACTIVE;IDLE;IDLE
24;0;0;ERROR_ACTIVE;IDLE;IDLE
25;0;0;ERROR_ACTIVE;IDLE;IDLE
26;0;0;ERROR_ACTIVE;IDLE;IDLE
27;0;0;ERROR_ACTIVE;IDLE;IDLE
28;0;0;ERROR_ACTIVE;IDLE;IDLE
29;0;0;ERROR_ACTIVE;IDLE;IDLE
30;0;0;ERROR_ACTIVE;SKIPPING_TX;VICTIM_TX
31;0;0;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
32;0;0;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
33;0;0;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
34;0;0;ERROR_ACTIVE;IDLE;IDLE
35;0;0;ERROR_ACTIVE;IDLE;IDLE
36;0;0;ERROR_ACTIVE;IDLE;IDLE
37;0;0;ERROR_ACTIVE;IDLE;IDLE
38;0;0;ERROR_ACTIVE;IDLE;IDLE
39;0;0;ERROR_ACTIVE;IDLE;IDLE
40;0;0;ERROR_ACTIVE;SKIPPING_TX;VICTIM_TX
41;0;0;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
42;0;0;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
43;0;0;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
44;0;0;ERROR_ACTIVE;IDLE;IDLE
45;0;0;ERROR_ACTIVE;IDLE;IDLE
46;0;0;ERROR_ACTIVE;IDLE;IDLE
47;0;0;ERROR_ACTIVE;IDLE;IDLE
48;0;0;ERROR_ACTIVE;IDLE;IDLE
49;0;0;ERROR_ACTIVE;IDLE;IDLE
50;0;0;ERROR_ACTIVE;SKIPPING_TX;VICTIM_TX
51;0;0;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
52;0;0;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
53;0;0;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
54;0;0;ERROR_ACTIVE;IDLE;IDLE
55;0;0;ERROR_ACTIVE;IDLE;IDLE
56;0;0;ERROR_ACTIVE;IDLE;IDLE
57;0;0;ERROR_ACTIVE;IDLE;IDLE
58;0;0;ERROR_ACTIVE;IDLE;IDLE
59;0;0;ERROR_ACTIVE;IDLE;IDLE
60;8;8;ERROR_ACTIVE;ATTACK_COLLISION;VICTIM_TX
61;7;8;ERROR_ACTIVE;VICTIM_RETRANSMIT_SUCCESS;VICTIM_TX
62;7;7;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
63;7;6;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
64;7;5;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
65;7;5;ERROR_ACTIVE;IDLE;IDLE
66;7;5;ERROR_ACTIVE;IDLE;IDLE
67;7;5;ERROR_ACTIVE;IDLE;IDLE
68;7;5;ERROR_ACTIVE;IDLE;IDLE
69;7;5;ERROR_ACTIVE;IDLE;IDLE
70;6;5;ERROR_ACTIVE;SKIPPING_TX;VICTIM_TX
71;6;4;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
72;6;3;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
73;6;2;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
74;6;2;ERROR_ACTIVE;IDLE;IDLE
75;6;2;ERROR_ACTIVE;IDLE;IDLE
76;6;2;ERROR_ACTIVE;IDLE;IDLE
77;6;2;ERROR_ACTIVE;IDLE;IDLE
78;6;2;ERROR_ACTIVE;IDLE;IDLE
79;6;2;ERROR_ACTIVE;IDLE;IDLE
80;5;2;ERROR_ACTIVE;SKIPPING_TX;VICTIM_TX
81;5;1;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
82;5;0;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
83;5;0;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
84;5;0;ERROR_ACTIVE;IDLE;IDLE
85;5;0;ERROR_ACTIVE;IDLE;IDLE
86;5;0;ERROR_ACTIVE;IDLE;IDLE
87;5;0;ERROR_ACTIVE;IDLE;IDLE
88;5;0;ERROR_ACTIVE;IDLE;IDLE
89;5;0;ERROR_ACTIVE;IDLE;IDLE
90;4;0;ERROR_ACTIVE;SKIPPING_TX;VICTIM_TX
91;4;0;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
92;4;0;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
93;4;0;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
94;4;0;ERROR_ACTIVE;IDLE;IDLE
95;4;0;ERROR_ACTIVE;IDLE;IDLE
96;4;0;ERROR_ACTIVE;IDLE;IDLE
97;4;0;ERROR_ACTIVE;IDLE;IDLE
98;4;0;ERROR_ACTIVE;IDLE;IDLE
99;4;0;ERROR_ACTIVE;IDLE;IDLE
100;12;8;ERROR_ACTIVE;ATTACK_COLLISION;VICTIM_TX
101;11;8;ERROR_ACTIVE;VICTIM_RETRANSMIT_SUCCESS;VICTIM_TX
102;11;7;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
103;11;6;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
104;11;5;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
105;11;5;ERROR_ACTIVE;IDLE;IDLE
106;11;5;ERROR_ACTIVE;IDLE;IDLE
107;11;5;ERROR_ACTIVE;IDLE;IDLE
108;11;5;ERROR_ACTIVE;IDLE;IDLE
109;11;5;ERROR_ACTIVE;IDLE;IDLE
110;10;5;ERROR_ACTIVE;SKIPPING_TX;VICTIM_TX
