Time_ms;Victim_TEC;Attacker_TEC;Victim_State;Action;Bus_Status
843;50;0;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
844;50;0;ERROR_ACTIVE;IDLE;IDLE
845;50;0;ERROR_ACTIVE;IDLE;IDLE
846;50;0;ERROR_ACTIVE;IDLE;IDLE
847;50;0;ERROR_ACTIVE;IDLE;IDLE
848;50;0;ERROR_ACTIVE;IDLE;IDLE
849;50;0;ERROR_ACTIVE;IDLE;IDLE
850;49;0;ERROR_ACTIVE;SKIPPING_TX;VICTIM_TX
851;49;0;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
852;49;0;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
853;49;0;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
854;49;0;ERROR_ACTIVE;IDLE;IDLE
855;49;0;ERROR_ACTIVE;IDLE;IDLE
856;49;0;ERROR_ACTIVE;IDLE;IDLE
857;49;0;ERROR_ACTIVE;IDLE;IDLE
858;49;0;ERROR_ACTIVE;IDLE;IDLE
859;49;0;ERROR_ACTIVE;IDLE;IDLE
860;48;0;ERROR_ACTIVE;SKIPPING_TX;VICTIM_TX
861;48;0;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
862;48;0;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
863;48;0;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
864;48;0;ERROR_ACTIVE;IDLE;IDLE
865;48;0;ERROR_ACTIVE;IDLE;IDLE
866;48;0;ERROR_ACTIVE;IDLE;IDLE
867;48;0;ERROR_ACTIVE;IDLE;IDLE
868;48;0;ERROR_ACTIVE;IDLE;IDLE
869;48;0;ERROR_ACTIVE;IDLE;IDLE
870;56;8;ERROR_ACTIVE;ATTACK_COLLISION;VICTIM_TX
871;55;8;ERROR_ACTIVE;VICTIM_RETRANSMIT_SUCCESS;VICTIM_TX
872;55;7;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
873;55;6;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
874;55;5;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
875;55;5;ERROR_ACTIVE;IDLE;IDLE
876;55;5;ERROR_ACTIVE;IDLE;IDLE
877;55;5;ERROR_ACTIVE;IDLE;IDLE
878;55;5;ERROR_ACTIVE;IDLE;IDLE
879;55;5;ERROR_ACTIVE;IDLE;IDLE
880;54;5;ERROR_ACTIVE;SKIPPING_TX;VICTIM_TX
881;54;4;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
882;54;3;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
883;54;2;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
884;54;2;ERROR_ACTIVE;IDLE;IDLE
885;54;2;ERROR_ACTIVE;IDLE;IDLE
886;54;2;ERROR_ACTIVE;IDLE;IDLE
887;54;2;ERROR_ACTIVE;IDLE;IDLE
888;54;2;ERROR_ACTIVE;IDLE;IDLE
889;54;2;ERROR_ACTIVE;IDLE;IDLE
890;53;2;ERROR_ACTIVE;SKIPPING_TX;VICTIM_TX
891;53;1;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
892;53;0;ERROR_ACTIVE;ATTACKER_RECOVERY;ATTACKER_BG_TX
